u,v,u - N*v
97130299,2,-4155
145645885,3,-55796
825775587,17,132728
1700771358,35,918413
48558510,1,-8717
48534915,1,-32312
242795547,5,-40588
48566375,1,-852
825570900,17,-71959
2380266135,49,472012
4418595236,91,-1022421
98255604590,2023,4104369
116528597460,2401,-81314567
70171209108,1445,-8433907
2478322000,51,1393423
242875556,5,39421
825968000,17,325141
711527258982,14641,454488475
18354353875,378,-4057931
97144749,2,10295
2476803329,51,-125248
33316944505,686,-173217
107004055961,2205,-86679574
8500669749,175,1405024
1005329748850,20691,425254993
1311619309,27,304180
470946461557,9690,330031927
486022537,10,350267
48600552,1,33325
48620000,1,52773
388790255,8,252439
534534400,11,294903
631497300,13,123349
145775000,3,73319
48620544,1,53317
64667587712,1331,24608575
17631601000,363,1697599
90328091520,1859,41616527
236313984375,4862,180126701
632187500,13,813549
242693802,5,-142333
1391979074038137,28647703,639579408556
20641663042,425,591567
825384339,17,-258520
48553700,1,-13527
22313281250,459,20924057
360552978682,7425,-58681793
1062269644293,21875,-138446332
17540024125,361,7255178
568988671875,11704,557847067
418864915625,8624,21149977
776953125,16,-122507
17045383285,351,-1713392
1263123477,26,375575
1604475691,33,1757200
486008019,10,335749
14054154075,289,18225472
437418982,9,313939
3946561358091,81250,474164341
64675406250,1331,32427113
8838671875,182,-563439
534161250,11,-78247
118976687271,2450,-13018879
17308452940625,356668,-13922779011
23068141551,475,-1291274
2425999059,50,-2362291
194260275,4,-8633
923181600,19,404287
35038972969,722,-26564925
826315776,17,672917
229148215600,4719,-40528613
2378701200,49,-1092923
816285738125,16807,16353936
1165774337,24,160889
10734059462,221,702295
41142234744,847,5793475
1262487303,26,-260599
48580560,1,13333
20641046454,425,-25021
155954313900,3211,4948003
3304676375,68,2104939
16660675350,343,2116489
1387834256655,28561,705686308
14035888251,289,-40352
922905984,19,128671
324875360355,6688,57746179
6991247263,144,-2433425
2771807500,57,3475561
24653876170,507,30292081
994210404201,20449,1059179278
868712945772,17875,573763147
924007500,19,1230187
97226325,2,91871
243168156,5,332021
10153770795,209,3220352
52380563625,1078,25092919
1215137781,25,957106
6457343750,133,-2097441
10152187500,209,1637057
825343750,17,-299109
111608984375,2299,-47070498
36685732218499,754490,42245119269
1067895171,22,-583823
5716734742675,117649,2849053352
25254996459,520,38419
218429767127,4500,-122754373
107324947303,2210,-8624367
21757912605,448,-205091
43561951225,896,45715833
632187171,13,813220
45257941875,931,41853538
6949546875,143,4433414
3156921702,65,51947
35369215365,728,12274109
48550320,1,-16907
1214021952,25,-158723
339768000,7,-202589
48542208,1,-25019
576196672128,11875,-539148497
1763916015625,36309,488570482
283207031250,5831,11530613
33348781323,686,31663601
156747409819,3230,-124733391
32834527209,676,3081757
97060425,2,-74029
48538616,1,-28611
315164358444993068,6485401125,186409821062693
29725568495,612,2425571
485430650159,10000,-241619841
12134771649,250,-7035101
6067191438,125,-3711937
