N,Bit_length
587455342845731235745135913,89
1921,11
56390366009,36
19486290291759807744080230519,94
5250887272050878554383993903023719289,122
27271006723,35
33267719345480576543039699,85
7099815623,33
35836011243094664233,65
30733040321,35
2054599,21
35952090202068220764900889,85
80678957981170632783621573517408599731,126
259729,18
13320715150250540021637353116272307,114
146414417544343351326928471,87
2021975613040961034617597,81
258286090109357100153565636439,98
53765473663371603335284165562267,106
51733257528319321,56
610611070926861130918704469,89
192803321,28
4239302686963,42
162436681242997889080681978666850828809,127
61561106240468941,56
57649430227,36
109124090087,37
446396030893759931,59
230953236046487407,58
42753638961962271337,66
520134752573,39
6562104613044452255470635509551,103
16292735584500329,54
28231843,25
2697017,22
4149495643234524491,62
37647863492386137164225873683,95
3019543,22
14671842062058366716132460160829,104
2973169,22
218531689,28
864142928355562711178934134617,100
1509184823639,41
4019713741423681646809,72
544936900672067223894520120456414427,119
49738323471371,46
38048424805191945563140273,85
36565314980036672969418072577339,105
98987493647199049672011680365901,107
27268481318458145941884703863605836369,125
13404392550328759400933879,84
232354653227,38
224367436411,38
235021,18
4893650323380864477315734643969823,112
68246720307539700058369,76
26193265788858490326457,75
2781916721389988681,62
66775651302002905359475504986183226031,126
618830010824062261330429178159,99
9690061587287907070591459349,93
36024025116671771,55
13389248439771583740281,74
45947,16
100481,17
76865611800934934436071,77
829212103666356624425632615319,100
244351873585224614101,68
216668880107596952085480964679273,108
2105472486046130212147558142989577,111
3096416747,32
716147,20
5739520127814606577,63
4189958906962490917,62
140717066754665438083,67
25217,15
1139860419377851975318458327769871,110
4212311339,32
2108250383,31
117109937219861296483,67
16335860585052226721,64
13771,14
518165231,29
30563048833,35
522507949,29
209,8
1460107594807,41
13519687569727,44
1894472997218523123752889575471,101
4560119956303157166731033477,92
95450423,27
21826646853953,45
30967,15
31555,15
2801085572351008701467503,82
248449,18
46789,16
7645139,23
4673336103735363907371247,82
6401,13
1549634682439,41
8883671302346141884261339333,93
51131113039103,46
1037069628802017724332053,80
59130552395706294623983,76
2067203888987,41
207419539,28
101043779830111696655443,77
59680759918835172037684459,86
25147225257729806667329,75
65923258374713,46
2128501813003,41
16164266095319,44
16124346907,34
1031526408853,40
15985544205399829693491128103942791,114
5143,13
51682599244754228501019970063739,106
402379009201543324051158257,89
244959023,28
185069955920852218610642414701,98
375765110084800604473667,79
110077789788784572308221,77
2783486724405598677549977,82
119584497993043,47
9160835180466641979402748453,93
100733471064020095860018779908801,107
75128920635588685112613411777481866461,126
1068931822218477331867017992130919,110
967152029,30
199410348575306341473454110514853,108
1783861,21
160556890521694292725857326848373981,117
2686079227677429015498067526976779,112
97110356831,37
1501,11
474142477023352301,59
7584656388731,43
76161305005322249362126015811501,106
4146444732958523,52
494162175810684697,59
294632128793816012213387190817900406293,128
3851591,22
2023644017540340784157511931717,101
29429577719601439890795049,85
119205283032134557,57
246533193280960515730689453209,98
17635937274873646696813,74
28830151660618594595338676981,95
302974025718932033590039875397977330881,128
8589695471807915429,63
8800397397929693987817351401,93
255953099766827,48
1112159891452411027,60
461771017409494703,59
1457978715922667353,61
70044404833801290855228961,86
47785780978249,46
251775662997600423717713,78
48426602557457,46
304189518784275687736668370273471,108
2008891998597114128550729199,91
130948076063272605353,67
195811337706754101307,68
15785610692843,44
565061881343033468547782983,89
3654363954487330216768157832950723,112
17761646839246641835791232651,94
61716736937,36
5753,13
54753953039065886962928437,86
1966600547275477601872919,81
342525492509059438202191380347,99
2357412282477493645841,71
542358952547,39
1991965751874182091329047783,91
235,8
1051129171,30
13123,14
494651795041,39
26944537,25
145656914603952852361,67
