u,v,u - N*v
4418595236,91,-1022421
2476803329,51,-125248
98255604590,2023,4104369
11217846848,231,-1182589
64667587712,1331,24608575
70171209108,1445,-8433907
48558510,1,-8717
282295212437568,5812079,18652302635
242693802,5,-142333
48550320,1,-16907
297891891297,6137,-165180802
534223872,11,-15625
48542208,1,-25019
48570368,1,3141
4614543648,95,657083
825384339,17,-258520
242795547,5,-40588
97144749,2,10295
48600552,1,33325
2380266135,49,472012
1700771358,35,918413
388790255,8,252439
33316944505,686,-173217
97130299,2,-4155
825775587,17,132728
3933609064,81,-336323
994210404201,20449,1059179278
48566375,1,-852
3156921702,65,51947
8838671875,182,-563439
48534915,1,-32312
534161250,11,-78247
1312187500,27,872371
923181600,19,404287
48620000,1,52773
64675406250,1331,32427113
10152187500,209,1637057
8500669749,175,1405024
3946561358091,81250,474164341
6457343750,133,-2097441
155976562500,3211,27196603
1263123477,26,375575
97226325,2,91871
632187171,13,813220
631497300,13,123349
2478322000,51,1393423
145775000,3,73319
486022537,10,350267
1604475691,33,1757200
48580560,1,13333
194260275,4,-8633
21757912605,448,-205091
48620544,1,53317
20641663042,425,591567
10153770795,209,3220352
52380563625,1078,25092919
2378395305,49,-1398818
17540024125,361,7255178
118976687271,2450,-13018879
2425999059,50,-2362291
145645885,3,-55796
17308452940625,356668,-13922779011
23068141551,475,-1291274
825968000,17,325141
29725568495,612,2425571
131399145633,2704,73363825
145959520,3,257839
1005329748850,20691,425254993
17045383285,351,-1713392
3304676375,68,2104939
242875556,5,39421
1311619309,27,304180
437418982,9,313939
35038972969,722,-26564925
557471272358,11475,162342533
1032090088029,21250,36514279
1165774337,24,160889
48553700,1,-13527
317263956373,6534,-74304845
18354353875,378,-4057931
248252942080,5103,414382699
107324947303,2210,-8624367
24653876170,507,30292081
825570900,17,-71959
204977382071,4225,-219152004
133662505889,2754,-91637269
10734059462,221,702295
486008019,10,335749
20641046454,425,-25021
1215137781,25,957106
12134771649,250,-7035101
11559171987,238,171961
5445229779,112,5700355
243168156,5,332021
3109089555,64,787027
1215051273,25,870598
294743461375,6069,-11039288
133340598625,2744,72127737
6215047839,128,-1557217
11802415625,243,579464
12432108975,256,-1101137
52809694875,1088,-31448101
1067895171,22,-583823
452579418750,9317,78564791
757109362933,15600,-539378267
952453765241,19600,536116041
1556806875,32,2655611
32834527209,676,3081757
25254996459,520,38419
17631601000,363,1697599
8207780625,169,-80738
711527258982,14641,454488475
6949546875,143,4433414
1062269644293,21875,-138446332
22313281250,459,20924057
632187500,13,813549
97060425,2,-74029
33348781323,686,31663601
156747409819,3230,-124733391
23533245435,484,26707567
48538616,1,-28611
6131066257801,126225,668029726
951998163025,19602,-16620629
360552978682,7425,-58681793
825343750,17,-299109
816285738125,16807,16353936
283207031250,5831,11530613
1763916015625,36309,488570482
280180419921875,5764801,200021145048
45257941875,931,41853538
