Bit_length,N,Lattice_dimension,|b_op - t|^2,|vbest - t|^2,P(b_op),P(vbest),P(|vnew - t|^2 < |b_op - t|^2),P(|vnew - t|^2 <= |b_op - t|^2),P(|vnew - t|^2 > |b_op - t|^2)
150,1268771206145175299492684899681878877410684841,21,728,728,0.012794,0.012794,0.0,0.012794,0.987206
150,1403762530472620237905076428332939916844331359,21,310,297,0.02726,0.016831,0.026581,0.053841,0.946159
150,918882917500502786903408324526441238854631741,21,407,397,0.009939,0.007467,0.007467,0.017405999999999998,0.982594
150,1044411862674117053622929515451672202864979129,21,397,397,0.012026,0.012026,0.0,0.012026,0.987974
150,1199592981228806239321120961178599459097610483,21,601,601,0.001371,0.001371,0.0,0.001371,0.998629
150,912632394066698132144971044037258218777602291,21,384,384,0.026823,0.026823,0.0,0.026823,0.973177
150,1033085278351720441874660444922199074374033881,21,454,454,0.002552,0.002552,0.0,0.002552,0.997448
150,1039667922595230805682141254323399644574814367,21,704,702,0.029829,0.076024,0.076024,0.105853,0.894147
150,1076261801716221769627743498540654753005411033,21,605,584,0.007861,0.005517,0.07573300000000001,0.083594,0.916406
150,868981675879730421007669707059890716656754209,21,391,391,0.00901,0.00901,0.0,0.00901,0.99099
150,1198940008513470371886998720870433706529677289,21,318,309,0.017242,0.013688,0.079844,0.097086,0.902914
150,1001065868810988745766471076060380006588792189,21,391,391,0.008204,0.008204,0.0,0.008204,0.991796
150,1018523197675518130041140861676478171959383813,21,315,315,0.053151,0.053151,0.0,0.053151,0.946849
150,999406335763551690568793874408994581594369181,21,305,305,0.069074,0.069074,0.0,0.069074,0.930926
150,1386649915270975663546803936212330370020386207,21,333,333,0.009561,0.009561,0.0,0.009561,0.990439
150,1252835724482748605844023934169349660374906087,21,379,379,0.021952,0.021952,0.0,0.021952,0.978048
150,1420753685420564064872708676390123998125705549,21,349,349,0.038695,0.038695,0.0,0.038695,0.961305
150,1076920912535396901213842625717381087368331181,21,417,417,0.005785,0.005785,0.0,0.005785,0.994215
150,1124397583306701037985991208303905429810161357,21,352,352,0.012391,0.012391,0.0,0.012391,0.987609
150,1130353955473240791783568532060655958732460941,21,408,408,0.025607,0.025607,0.0,0.025607,0.974393
151,2363319035074246419340419055739401443130238059,21,544,505,0.009558,0.00153,0.068753,0.07831099999999999,0.921689
151,2471201957583473321167345886570639941825218311,21,396,396,0.007415,0.007415,0.0,0.007415,0.992585
151,2315715608364087921901708175621836301416617007,21,292,292,0.005264,0.005264,0.0,0.005264,0.994736
151,2763171157217537386323259861099914830334818519,21,613,595,0.002846,0.00379,0.00379,0.0066359999999999995,0.993364
151,1758775630326182635026447808028302358291781499,21,296,296,0.015496,0.015496,0.0,0.015496,0.984504
151,2188378164211148987192836592303698338909975503,21,332,318,0.008896,0.009807,0.009807,0.018702999999999997,0.981297
151,1829627983140478483810934234803641664206450619,21,355,355,0.013103,0.013103,0.0,0.013103,0.986897
151,1569735030968914361557174823910579735657956107,21,310,304,0.038184,0.027616,0.027616,0.0658,0.9342
151,2843239852874861508784440371081621911410347591,21,581,581,0.00437,0.00437,0.0,0.00437,0.99563
151,2624675574003230296718034974584383454961661761,21,577,577,0.004591,0.004591,0.0,0.004591,0.995409
151,1746328694271824837631752461766830788699201941,21,497,492,0.004223,0.002831,0.0039000000000000003,0.008123,0.991877
151,2456234120258232727729365675070691784694223131,21,661,651,0.011164,0.005877,0.012941999999999999,0.024106,0.975894
151,2689914182894566195371701173819301836708498979,21,414,397,0.013269999999999999,0.00419,0.06834,0.08161,0.91839
151,2472879649799491864465871187917726124213054643,21,388,383,0.002465,0.003173,0.003173,0.005638000000000001,0.994362
151,2641928437820330089399895839369416426912654047,21,603,596,0.021654,0.011999,0.011999,0.033653,0.966347
151,2217024583566038902931835040749210710155293863,21,329,329,0.016477,0.016477,0.0,0.016477,0.983523
151,2795955547593262531562466415054318143278579719,21,418,393,0.003509,0.002672,0.031010999999999997,0.034519999999999995,0.96548
151,2754384674264655946791346511962590129499967297,21,527,527,0.005342,0.005342,0.0,0.005342,0.994658
151,1922698035563121141756137662031262831101446511,21,321,321,0.002023,0.002023,0.0,0.002023,0.997977
151,2578633082003778088940013102956628479805360761,21,526,526,0.003539,0.003539,0.0,0.003539,0.996461
152,3650146379785934850995660671580553841765454981,21,332,327,0.01155,0.018587,0.034117999999999996,0.04566799999999999,0.954332
152,4447694107941335768274189003948589146948883409,21,397,397,0.044458,0.044458,0.0,0.044458,0.955542
152,5304044781028480773455459789567804501864780699,21,391,379,0.027073,0.004108,0.004108,0.031181,0.968819
152,5225791236691602749703859113684043992716841463,21,404,404,0.026297,0.026297,0.0,0.026297,0.973703
152,5425403301002418901669361546561888615280596761,21,404,374,0.015338,0.005041,0.051364999999999994,0.066703,0.933297
152,5202335230032226630491022567996748864390119873,21,446,446,0.019931,0.019931,0.0,0.019931,0.980069
152,4003774395708740189647636396775460720094087057,21,338,333,0.006014,0.001096,0.001096,0.00711,0.99289
152,5276249290787396224699127825641594167433771223,21,372,372,0.004035,0.004035,0.0,0.004035,0.995965
152,4381176969443188923764265381058182084891594073,21,455,455,0.014531,0.014531,0.0,0.014531,0.985469
152,5541991812747053012003965966406093820220699999,21,301,301,0.056354,0.056354,0.0,0.056354,0.943646
152,5648300508047326241541247933495397085050508533,21,379,379,0.009802,0.009802,0.0,0.009802,0.990198
152,4837654055687374110886315087296888936559582543,21,331,291,0.033628,0.011257,0.061660000000000006,0.09528800000000001,0.904712
152,3169527753809835033737422227494034075208154897,21,365,365,0.00559,0.00559,0.0,0.00559,0.99441
152,4751384359859390003700613749548751936187354063,21,353,353,0.030042,0.030042,0.0,0.030042,0.969958
