Bit_length,N,Lattice_dimension,|b_op - t|^2,|vbest - t|^2,P(b_op),P(vbest),P(|vnew - t|^2 < |b_op - t|^2),P(|vnew - t|^2 <= |b_op - t|^2),P(|vnew - t|^2 > |b_op - t|^2)
8.0,185.0,3.0,86.0,86.0,0.354,0.354,0.0,0.354,0.646
8.0,221.0,3.0,65.0,65.0,0.705,0.705,0.0,0.705,0.29500000000000004
8.0,221.0,3.0,50.0,50.0,0.995,0.995,0.0,0.995,0.0050000000000000044
8.0,253.0,3.0,45.0,45.0,0.929,0.929,0.0,0.929,0.07099999999999995
8.0,201.0,3.0,49.0,49.0,0.97,0.97,0.0,0.97,0.030000000000000027
8.0,209.0,3.0,90.0,90.0,0.702,0.702,0.0,0.702,0.29800000000000004
8.0,187.0,3.0,18.0,18.0,0.934,0.934,0.0,0.934,0.06599999999999995
8.0,187.0,3.0,18.0,18.0,0.949,0.949,0.0,0.949,0.051000000000000045
8.0,205.0,3.0,108.0,105.0,0.615,0.242,0.242,0.857,0.14300000000000002
8.0,215.0,3.0,70.0,70.0,0.889,0.889,0.0,0.889,0.11099999999999999
9.0,473.0,3.0,125.0,125.0,0.262,0.262,0.0,0.262,0.738
9.0,473.0,3.0,125.0,125.0,0.28,0.28,0.0,0.28,0.72
9.0,437.0,3.0,102.0,102.0,0.856,0.856,0.0,0.856,0.14400000000000002
9.0,355.0,3.0,117.0,117.0,0.335,0.335,0.0,0.335,0.665
9.0,407.0,3.0,36.0,36.0,0.988,0.988,0.0,0.988,0.01200000000000001
9.0,355.0,3.0,70.0,70.0,0.99,0.99,0.0,0.99,0.010000000000000009
9.0,415.0,3.0,25.0,25.0,0.991,0.991,0.0,0.991,0.009000000000000008
9.0,415.0,3.0,25.0,25.0,0.989,0.989,0.0,0.989,0.01100000000000001
9.0,473.0,3.0,125.0,125.0,0.265,0.265,0.0,0.265,0.735
9.0,481.0,3.0,39.0,39.0,0.944,0.944,0.0,0.944,0.05600000000000005
10.0,1003.0,3.0,43.0,43.0,0.97,0.97,0.0,0.97,0.030000000000000027
10.0,869.0,3.0,60.0,60.0,0.926,0.926,0.0,0.926,0.07399999999999995
10.0,905.0,3.0,60.0,60.0,0.984,0.984,0.0,0.984,0.016000000000000014
10.0,917.0,3.0,106.0,106.0,0.734,0.734,0.0,0.734,0.266
10.0,655.0,3.0,125.0,94.0,0.205,0.329,0.329,0.534,0.46599999999999997
10.0,893.0,3.0,73.0,73.0,0.888,0.888,0.0,0.888,0.11199999999999999
10.0,959.0,3.0,41.0,41.0,0.946,0.946,0.0,0.946,0.05400000000000005
10.0,831.0,3.0,24.0,24.0,0.984,0.984,0.0,0.984,0.016000000000000014
10.0,755.0,3.0,78.0,78.0,0.96,0.96,0.0,0.96,0.040000000000000036
10.0,781.0,3.0,45.0,45.0,0.985,0.985,0.0,0.985,0.015000000000000013
11.0,1713.0,3.0,140.0,140.0,0.734,0.734,0.0,0.734,0.266
11.0,1843.0,3.0,78.0,78.0,0.942,0.942,0.0,0.942,0.05800000000000005
11.0,1865.0,3.0,81.0,81.0,0.717,0.717,0.0,0.717,0.28300000000000003
11.0,1967.0,3.0,126.0,126.0,0.93,0.93,0.0,0.93,0.06999999999999995
11.0,1633.0,3.0,73.0,73.0,0.883,0.883,0.0,0.883,0.11699999999999999
11.0,1703.0,3.0,105.0,105.0,0.61,0.61,0.0,0.61,0.39
11.0,1821.0,3.0,50.0,50.0,0.993,0.993,0.0,0.993,0.007000000000000006
11.0,1927.0,3.0,85.0,85.0,0.692,0.692,0.0,0.692,0.30800000000000005
