Bit_length,N,Lattice_dimension,|b_op - t|^2,|vbest - t|^2,P(b_op),P(vbest),P(|vnew - t|^2 < |b_op - t|^2),P(|vnew - t|^2 <= |b_op - t|^2),P(|vnew - t|^2 > |b_op - t|^2)
8.0,185.0,3.0,65.0,65.0,0.945,0.945,0.0,0.945,0.05500000000000005
8.0,221.0,3.0,65.0,65.0,0.598,0.598,0.0,0.598,0.402
8.0,221.0,3.0,86.0,86.0,0.663,0.663,0.0,0.663,0.33699999999999997
8.0,253.0,3.0,60.0,60.0,0.964,0.964,0.0,0.964,0.03600000000000003
8.0,201.0,3.0,61.0,61.0,0.823,0.823,0.0,0.823,0.17700000000000005
8.0,209.0,3.0,42.0,42.0,0.912,0.912,0.0,0.912,0.08799999999999997
8.0,187.0,3.0,18.0,18.0,0.913,0.913,0.0,0.913,0.08699999999999997
8.0,187.0,3.0,18.0,18.0,0.923,0.923,0.0,0.923,0.07699999999999996
8.0,205.0,3.0,142.0,115.0,0.234,0.724,0.724,0.958,0.04200000000000004
8.0,215.0,3.0,70.0,70.0,0.9,0.9,0.0,0.9,0.09999999999999998
9.0,473.0,3.0,122.0,122.0,0.461,0.461,0.0,0.461,0.5389999999999999
9.0,473.0,3.0,107.0,107.0,0.237,0.237,0.0,0.237,0.763
9.0,437.0,3.0,102.0,102.0,0.725,0.725,0.0,0.725,0.275
9.0,355.0,3.0,70.0,70.0,0.974,0.974,0.0,0.974,0.026000000000000023
9.0,407.0,3.0,81.0,81.0,0.635,0.635,0.0,0.635,0.365
9.0,355.0,3.0,70.0,70.0,0.423,0.423,0.0,0.423,0.577
9.0,415.0,3.0,25.0,25.0,0.97,0.97,0.0,0.97,0.030000000000000027
9.0,415.0,3.0,70.0,70.0,0.494,0.494,0.0,0.494,0.506
9.0,473.0,3.0,107.0,107.0,0.228,0.228,0.0,0.228,0.772
9.0,481.0,3.0,73.0,73.0,0.797,0.797,0.0,0.797,0.20299999999999996
10.0,1003.0,3.0,43.0,43.0,0.914,0.914,0.0,0.914,0.08599999999999997
10.0,869.0,3.0,69.0,69.0,0.679,0.679,0.0,0.679,0.32099999999999995
10.0,905.0,3.0,60.0,60.0,0.916,0.916,0.0,0.916,0.08399999999999996
10.0,917.0,3.0,106.0,106.0,0.57,0.57,0.0,0.57,0.43000000000000005
10.0,655.0,3.0,130.0,130.0,0.821,0.821,0.0,0.821,0.17900000000000005
10.0,893.0,3.0,73.0,73.0,0.805,0.805,0.0,0.805,0.19499999999999995
10.0,959.0,3.0,66.0,66.0,0.731,0.731,0.0,0.731,0.269
10.0,831.0,3.0,69.0,69.0,0.515,0.515,0.0,0.515,0.485
10.0,755.0,3.0,102.0,99.0,0.502,0.444,0.444,0.946,0.05400000000000005
10.0,781.0,3.0,45.0,45.0,0.899,0.899,0.0,0.899,0.10099999999999998
11.0,1713.0,3.0,152.0,141.0,0.253,0.401,0.401,0.654,0.346
11.0,1843.0,3.0,99.0,99.0,0.764,0.764,0.0,0.764,0.236
11.0,1865.0,3.0,81.0,81.0,0.621,0.621,0.0,0.621,0.379
11.0,1967.0,3.0,134.0,111.0,0.163,0.364,0.364,0.527,0.473
11.0,1633.0,3.0,82.0,82.0,0.922,0.922,0.0,0.922,0.07799999999999996
11.0,1703.0,3.0,105.0,105.0,0.774,0.774,0.0,0.774,0.22599999999999998
11.0,1821.0,3.0,118.0,118.0,0.728,0.728,0.0,0.728,0.272
11.0,1927.0,3.0,79.0,79.0,0.863,0.863,0.0,0.863,0.137
11.0,1507.0,3.0,77.0,77.0,0.888,0.888,0.0,0.888,0.11199999999999999
11.0,1441.0,3.0,43.0,43.0,0.884,0.884,0.0,0.884,0.11599999999999999
12.0,3901.0,3.0,53.0,53.0,0.773,0.773,0.0,0.773,0.22699999999999998
12.0,3397.0,3.0,67.0,67.0,0.949,0.949,0.0,0.949,0.051000000000000045
12.0,2855.0,3.0,98.0,98.0,0.618,0.618,0.0,0.618,0.382
12.0,2831.0,3.0,118.0,118.0,0.679,0.679,0.0,0.679,0.32099999999999995
12.0,2893.0,3.0,78.0,78.0,0.607,0.607,0.0,0.607,0.393
12.0,2605.0,3.0,50.0,50.0,0.874,0.874,0.0,0.874,0.126
12.0,3047.0,3.0,46.0,46.0,0.946,0.946,0.0,0.946,0.05400000000000005
12.0,3707.0,3.0,116.0,116.0,0.371,0.371,0.0,0.371,0.629
12.0,2981.0,3.0,47.0,47.0,0.99,0.99,0.0,0.99,0.010000000000000009
12.0,3149.0,3.0,117.0,117.0,0.229,0.229,0.0,0.229,0.771
13.0,6463.0,3.0,45.0,45.0,0.991,0.991,0.0,0.991,0.009000000000000008
13.0,7729.0,3.0,99.0,99.0,0.865,0.865,0.0,0.865,0.135
13.0,7217.0,3.0,54.0,54.0,0.384,0.384,0.0,0.384,0.616
13.0,7241.0,3.0,94.0,94.0,0.797,0.797,0.0,0.797,0.20299999999999996
13.0,6281.0,3.0,142.0,142.0,0.332,0.332,0.0,0.332,0.6679999999999999
13.0,5755.0,3.0,63.0,63.0,0.71,0.71,0.0,0.71,0.29000000000000004
13.0,5165.0,3.0,65.0,65.0,0.947,0.947,0.0,0.947,0.05300000000000005
13.0,5699.0,3.0,89.0,89.0,0.864,0.864,0.0,0.864,0.136
13.0,7355.0,3.0,90.0,90.0,0.972,0.972,0.0,0.972,0.028000000000000025
13.0,4883.0,3.0,74.0,74.0,0.808,0.808,0.0,0.808,0.19199999999999995
14.0,13403.0,4.0,62.0,62.0,0.182,0.182,0.0,0.182,0.8180000000000001
14.0,15577.0,4.0,36.0,36.0,0.965,0.965,0.0,0.965,0.03500000000000003
14.0,13439.0,4.0,46.0,46.0,0.626,0.626,0.0,0.626,0.374
14.0,15163.0,4.0,42.0,42.0,0.889,0.889,0.0,0.889,0.11099999999999999
14.0,13849.0,4.0,62.0,62.0,0.683,0.683,0.0,0.683,0.31699999999999995
14.0,14257.0,4.0,47.0,47.0,0.528,0.528,0.0,0.528,0.472
14.0,15409.0,4.0,45.0,45.0,0.764,0.764,0.0,0.764,0.236
14.0,13271.0,4.0,49.0,49.0,0.521,0.521,0.0,0.521,0.479
14.0,12361.0,4.0,29.0,29.0,0.894,0.894,0.0,0.894,0.10599999999999998
14.0,13057.0,4.0,37.0,37.0,0.617,0.617,0.0,0.617,0.383
15.0,23713.0,4.0,74.0,74.0,0.737,0.737,0.0,0.737,0.263
15.0,30361.0,4.0,81.0,79.0,0.388,0.206,0.206,0.594,0.406
15.0,30901.0,4.0,46.0,46.0,0.737,0.737,0.0,0.737,0.263
15.0,30749.0,4.0,46.0,46.0,0.731,0.731,0.0,0.731,0.269
15.0,23389.0,4.0,41.0,41.0,0.905,0.905,0.0,0.905,0.09499999999999997
15.0,24991.0,4.0,60.0,60.0,0.753,0.753,0.0,0.753,0.247
15.0,30365.0,4.0,58.0,58.0,0.669,0.669,0.0,0.669,0.33099999999999996
