Bit_length,N,Lattice_dimension,|b_op - t|^2,|vbest - t|^2,P(b_op),P(vbest),P(|vnew - t|^2 < |b_op - t|^2),P(|vnew - t|^2 <= |b_op - t|^2),P(|vnew - t|^2 > |b_op - t|^2)
8.0,185.0,3.0,86.0,86.0,0.2342,0.2342,0.0,0.2342,0.7658
8.0,221.0,3.0,65.0,65.0,0.4133,0.4133,0.0,0.4133,0.5867
8.0,221.0,3.0,65.0,65.0,0.4151,0.4151,0.0,0.4151,0.5849
8.0,253.0,3.0,60.0,60.0,0.8471,0.8471,0.0,0.8471,0.15290000000000004
8.0,201.0,3.0,61.0,61.0,0.7159,0.7159,0.0,0.7159,0.2841
8.0,209.0,3.0,90.0,90.0,0.6251,0.6251,0.0,0.6251,0.3749
8.0,187.0,3.0,18.0,18.0,0.5957,0.5957,0.0,0.5957,0.4043
8.0,187.0,3.0,18.0,18.0,0.5888,0.5888,0.0,0.5888,0.4112
8.0,205.0,3.0,108.0,105.0,0.4168,0.2885,0.2885,0.7053,0.29469999999999996
8.0,215.0,3.0,70.0,70.0,0.6277,0.6277,0.0,0.6277,0.37229999999999996
9.0,473.0,2.0,513.0,513.0,0.575,0.575,0.0,0.575,0.42500000000000004
9.0,473.0,2.0,513.0,513.0,0.5802,0.5802,0.0,0.5802,0.41979999999999995
9.0,437.0,2.0,146.0,146.0,0.75,0.75,0.0,0.75,0.25
9.0,355.0,2.0,424.0,424.0,0.8072,0.8072,0.0,0.8072,0.19279999999999997
9.0,407.0,2.0,201.0,201.0,0.5275,0.5275,0.0,0.5275,0.47250000000000003
9.0,355.0,2.0,424.0,424.0,0.8101,0.8101,0.0,0.8101,0.18989999999999996
9.0,415.0,2.0,144.0,144.0,0.8191,0.8191,0.0,0.8191,0.18089999999999995
9.0,415.0,2.0,144.0,144.0,0.8113,0.8113,0.0,0.8113,0.18869999999999998
9.0,473.0,2.0,513.0,513.0,0.5742,0.5742,0.0,0.5742,0.42579999999999996
9.0,481.0,2.0,170.0,170.0,0.7274,0.7274,0.0,0.7274,0.27259999999999995
10.0,1003.0,2.0,461.0,461.0,0.8016,0.8016,0.0,0.8016,0.19840000000000002
10.0,869.0,2.0,59.0,59.0,0.7698,0.7698,0.0,0.7698,0.23019999999999996
10.0,905.0,2.0,182.0,182.0,0.863,0.863,0.0,0.863,0.137
10.0,917.0,2.0,257.0,257.0,0.4314,0.4314,0.0,0.4314,0.5686
10.0,655.0,2.0,125.0,125.0,0.7974,0.7974,0.0,0.7974,0.2026
10.0,893.0,2.0,429.0,429.0,0.6341,0.6341,0.0,0.6341,0.3659
10.0,959.0,2.0,254.0,254.0,0.7197,0.7197,0.0,0.7197,0.2803
10.0,831.0,2.0,173.0,173.0,0.6205,0.6205,0.0,0.6205,0.37949999999999995
10.0,755.0,2.0,321.0,321.0,0.6021,0.6021,0.0,0.6021,0.39790000000000003
10.0,781.0,2.0,299.0,299.0,0.5475,0.5475,0.0,0.5475,0.4525
11.0,1713.0,3.0,152.0,141.0,0.2676,0.2884,0.2884,0.556,0.44399999999999995
11.0,1843.0,3.0,108.0,108.0,0.4928,0.4928,0.0,0.4928,0.5072
