N,Bit_length
185,8
221,8
221,8
253,8
201,8
209,8
187,8
187,8
205,8
215,8
473,9
473,9
437,9
355,9
407,9
355,9
415,9
415,9
473,9
481,9
1003,10
869,10
905,10
917,10
655,10
893,10
959,10
831,10
755,10
781,10
1713,11
1843,11
1865,11
1967,11
1633,11
1703,11
1821,11
1927,11
1507,11
1441,11
3901,12
3397,12
2855,12
2831,12
2893,12
2605,12
3047,12
3707,12
2981,12
3149,12
6463,13
7729,13
7217,13
7241,13
6281,13
5755,13
5165,13
5699,13
7355,13
4883,13
13403,14
15577,14
13439,14
15163,14
13849,14
14257,14
15409,14
13271,14
12361,14
13057,14
23713,15
30361,15
30901,15
30749,15
23389,15
24991,15
30365,15
32659,15
24887,15
27859,15
41857,16
64259,16
58159,16
55613,16
60349,16
63461,16
57857,16
43489,16
39257,16
62261,16
115519,17
128839,17
125323,17
97957,17
82807,17
128963,17
109009,17
110053,17
128641,17
107297,17
178331,18
186497,18
258547,18
246823,18
174373,18
166211,18
242587,18
166241,18
159517,18
214957,18
515303,19
440861,19
483919,19
406639,19
297763,19
441809,19
391271,19
382817,19
421543,19
444679,19
927053,20
998923,20
951931,20
884911,20
687059,20
926267,20
827257,20
755323,20
1006001,20
770689,20
1763599,21
1350241,21
1712699,21
1721303,21
1658563,21
1374799,21
1991629,21
1726559,21
1599641,21
1518371,21
3354487,22
2596801,22
2883407,22
3395731,22
3925963,22
2731451,22
3106907,22
3176123,22
2667671,22
3234899,22
6893287,23
8126809,23
5643343,23
5284519,23
7125233,23
5626331,23
5572213,23
6245461,23
7436563,23
6807041,23
16027087,24
15007451,24
11831819,24
16669699,24
16136767,24
14644901,24
15705763,24
13505249,24
16682489,24
10954661,24
18574579,25
30109217,25
31245563,25
27474071,25
32686361,25
29773291,25
28140617,25
32889691,25
29108797,25
21470573,25
53723177,26
60769547,26
38466781,26
51998357,26
66504931,26
52034641,26
58618589,26
52403459,26
44054399,26
57798833,26
121683083,27
78326723,27
84851609,27
117150287,27
105527371,27
69366989,27
119494523,27
128428247,27
95836511,27
133483171,27
204579301,28
155280989,28
174771301,28
168316963,28
149061301,28
268074839,28
198739889,28
175320583,28
207746291,28
231005821,28
393536603,29
437977723,29
