N,Bit_length
365,9
489,9
365,9
485,9
395,9
365,9
411,9
335,9
489,9
451,9
415,9
451,9
407,9
497,9
505,9
505,9
505,9
451,9
451,9
473,9
481,9
471,9
493,9
453,9
473,9
417,9
391,9
453,9
473,9
481,9
473,9
407,9
469,9
411,9
447,9
959,10
895,10
995,10
923,10
871,10
913,10
817,10
895,10
901,10
913,10
745,10
913,10
785,10
803,10
731,10
923,10
781,10
835,10
949,10
755,10
737,10
985,10
893,10
923,10
939,10
695,10
831,10
895,10
771,10
917,10
815,10
779,10
685,10
789,10
913,10
1793,11
1959,11
1739,11
1415,11
1207,11
1507,11
1893,11
1691,11
1835,11
2019,11
1285,11
1943,11
1411,11
1985,11
1639,11
1349,11
1241,11
1841,11
2047,11
1731,11
1411,11
1285,11
1513,11
1285,11
1817,11
1865,11
1835,11
1839,11
1671,11
1441,11
1513,11
1273,11
1903,11
1991,11
1837,11
3841,12
3959,12
3647,12
3883,12
3223,12
4037,12
3869,12
4043,12
3497,12
4037,12
3827,12
2839,12
3077,12
3439,12
2881,12
2893,12
3641,12
3505,12
3139,12
4031,12
2845,12
3737,12
3829,12
3949,12
2995,12
3763,12
3883,12
3595,12
3337,12
3611,12
3403,12
3901,12
2479,12
3349,12
3077,12
6191,13
5893,13
5263,13
8021,13
8047,13
6683,13
7811,13
6973,13
5963,13
6887,13
7235,13
5767,13
7171,13
7631,13
7831,13
7303,13
7169,13
7255,13
7171,13
6835,13
6463,13
5567,13
6707,13
7813,13
7967,13
7165,13
5947,13
5587,13
6613,13
6289,13
7201,13
5947,13
6943,13
7961,13
7403,13
15529,14
16043,14
11915,14
16279,14
15833,14
12287,14
13507,14
11735,14
15553,14
14111,14
14999,14
11051,14
11485,14
13663,14
12533,14
12001,14
13031,14
15509,14
15943,14
10841,14
12079,14
16259,14
11341,14
12913,14
14921,14
11359,14
12521,14
13403,14
11189,14
10897,14
16357,14
15007,14
16021,14
10555,14
14837,14
19277,15
30679,15
28523,15
28529,15
21331,15
25223,15
25297,15
29369,15
30131,15
24685,15
27977,15
30263,15
23239,15
28999,15
26045,15
32209,15
32677,15
24313,15
23783,15
32101,15
32471,15
23147,15
27563,15
19907,15
23489,15
19099,15
31949,15
24991,15
21409,15
30413,15
20927,15
29503,15
28009,15
31979,15
32731,15
56881,16
37721,16
63193,16
59623,16
60377,16
52303,16
57091,16
52589,16
50381,16
62849,16
51523,16
60311,16
56881,16
53803,16
50719,16
53191,16
57229,16
53219,16
54427,16
63107,16
52079,16
58291,16
48331,16
45749,16
58399,16
62243,16
55907,16
51223,16
39577,16
58649,16
59893,16
59603,16
48077,16
34907,16
49601,16
96571,17
88507,17
92063,17
123133,17
129683,17
126221,17
116887,17
113681,17
125123,17
101743,17
68251,17
118919,17
110767,17
102721,17
117853,17
87673,17
83683,17
99361,17
110393,17
124109,17
98603,17
115559,17
80081,17
89029,17
94957,17
96119,17
116183,17
113741,17
96037,17
98503,17
77921,17
127111,17
108809,17
130667,17
109643,17
212323,18
236953,18
252019,18
252643,18
223739,18
195499,18
186197,18
214349,18
191593,18
247679,18
230983,18
219571,18
160267,18
252337,18
188129,18
178511,18
238981,18
226721,18
226747,18
206929,18
218759,18
238211,18
251423,18
238097,18
231953,18
232949,18
240161,18
169163,18
168551,18
238129,18
250237,18
237397,18
196327,18
249793,18
164323,18
391463,19
507239,19
362021,19
451847,19
468337,19
386107,19
484843,19
334039,19
484879,19
373889,19
337333,19
442483,19
452219,19
445973,19
512179,19
347719,19
388441,19
518993,19
374791,19
460447,19
433009,19
513869,19
475603,19
495469,19
510493,19
413311,19
404933,19
461089,19
510221,19
476309,19
481601,19
479173,19
340987,19
339337,19
398521,19
931759,20
828521,20
907289,20
786133,20
767027,20
805433,20
939553,20
994001,20
824597,20
967969,20
894571,20
961321,20
826619,20
849169,20
636941,20
958147,20
1018663,20
903817,20
661579,20
836503,20
681211,20
912827,20
916301,20
1043621,20
1035119,20
900227,20
950413,20
1027063,20
1028351,20
895379,20
712123,20
664219,20
938143,20
1028723,20
1028801,20
1357933,21
1785703,21
1933951,21
1896533,21
1665283,21
1986379,21
1440521,21
1210309,21
1723643,21
2005867,21
1385201,21
1793063,21
1470731,21
1654837,21
1993751,21
2044957,21
1944871,21
1465697,21
1755661,21
1443187,21
1172299,21
1353823,21
1468541,21
2023657,21
1783871,21
1859579,21
1930697,21
1613159,21
1904083,21
1881409,21
1956469,21
1629227,21
2018867,21
1813711,21
1171127,21
3996599,22
3910007,22
3574841,22
3756761,22
2992091,22
2677333,22
3598669,22
3162689,22
3497629,22
2873207,22
4154981,22
3817661,22
3353951,22
3254059,22
3114547,22
3965987,22
3885551,22
3169163,22
3362803,22
2885383,22
3771301,22
3896069,22
2937247,22
3384893,22
2980919,22
4008811,22
3957871,22
3899939,22
3474781,22
3146119,22
3946147,22
3885179,22
3515471,22
2266997,22
4176629,22
7928957,23
8364817,23
7827559,23
8104247,23
7984637,23
6317959,23
8109043,23
8257489,23
8041013,23
6369659,23
5051317,23
5554727,23
7881457,23
6888029,23
7533479,23
6436603,23
7318579,23
5914679,23
8038489,23
5469599,23
7221223,23
7518613,23
6985267,23
6811349,23
7722971,23
7465531,23
6002713,23
6718097,23
5053033,23
7428797,23
7057321,23
6043699,23
7196279,23
8219473,23
7081363,23
12219553,24
16501571,24
14826923,24
16734623,24
16609669,24
11970137,24
15825167,24
13336303,24
13958699,24
14196859,24
12236317,24
15982007,24
15108991,24
13677533,24
16088129,24
14211833,24
15243047,24
14151343,24
13042297,24
16216021,24
14126339,24
15037369,24
15373279,24
8871383,24
11144657,24
14068441,24
14582357,24
13504889,24
13858477,24
15885379,24
14456483,24
15698801,24
12294593,24
15800987,24
10928663,24
20766091,25
31765963,25
30475741,25
27847933,25
29510177,25
27826759,25
25801003,25
31256803,25
22322681,25
26389133,25
33413767,25
28575109,25
27221723,25
20963083,25
23746757,25
19817059,25
31143647,25
20543437,25
25826081,25
31819691,25
24425129,25
28803527,25
28764997,25
28236941,25
26186207,25
21767017,25
28260119,25
24917771,25
32265733,25
28446577,25
32114297,25
30184519,25
18484979,25
18761401,25
25637749,25
48614959,26
58510927,26
55984459,26
58944799,26
65615959,26
43544651,26
48782681,26
62531473,26
36951503,26
52102667,26
55626973,26
55766713,26
49868129,26
41060363,26
62905963,26
66073417,26
55022791,26
60395311,26
46961833,26
65692819,26
48077231,26
58053713,26
47518957,26
60469573,26
61262567,26
45710111,26
48480823,26
59838637,26
57285821,26
66730901,26
56508191,26
59879153,26
63062971,26
54001361,26
66493501,26
114484297,27
118613723,27
127468709,27
102563761,27
121652077,27
124909529,27
109736269,27
93603689,27
109155533,27
111269927,27
125653193,27
121963529,27
92092921,27
133770227,27
118326151,27
103327621,27
131298749,27
127221373,27
119841529,27
133925431,27
120822421,27
107477849,27
128181499,27
93056647,27
118111447,27
127707787,27
128000069,27
127663843,27
133385827,27
124929793,27
90639817,27
120477713,27
74801149,27
86366131,27
118074007,27
205519519,28
176362181,28
159355243,28
184573877,28
253763701,28
232755683,28
250117667,28
178632409,28
258724369,28
235159319,28
263054377,28
177639691,28
187436363,28
260732149,28
212881481,28
186693187,28
208953461,28
222716257,28
206811821,28
205963253,28
157695049,28
190317461,28
212130227,28
210690187,28
162852301,28
199048147,28
259906973,28
232002473,28
246472673,28
181954067,28
243010231,28
261700609,28
237199951,28
140784689,28
203203927,28
519480187,29
379244377,29
505956811,29
434814001,29
448066691,29
426560353,29
457145863,29
460119817,29
433645073,29
482138329,29
493004789,29
453423203,29
517228463,29
464938273,29
435299273,29
420914173,29
513811799,29
297597793,29
279943483,29
422710747,29
383142917,29
378751403,29
522668687,29
411257521,29
328834967,29
521936663,29
296065969,29
459970607,29
497448311,29
484325921,29
482125607,29
430406359,29
433874053,29
517636879,29
494648761,29
999564481,30
971107531,30
990748639,30
1071880333,30
1018018861,30
706920143,30
1033263577,30
836154713,30
679356449,30
1055493793,30
1007188673,30
825445123,30
1038072449,30
791099801,30
676399561,30
1057735897,30
622325057,30
718965329,30
650829433,30
846228401,30
967468477,30
1058979203,30
590160187,30
1024211311,30
1028194451,30
592943137,30
927570793,30
781851547,30
912526207,30
931149617,30
615932609,30
834303079,30
697197247,30
760822991,30
707507641,30
1770368461,31
1806575983,31
2122065493,31
1363091551,31
2120536403,31
1493862779,31
1460601113,31
1329331327,31
1452297719,31
1673177767,31
1967103559,31
1773296123,31
1571783567,31
1989780119,31
1669265791,31
1791587719,31
1567501499,31
1564082189,31
1465083773,31
1800636127,31
1246795747,31
1927045541,31
1784585287,31
1937999447,31
1563327643,31
1756176179,31
1782295343,31
1570567807,31
1476171457,31
1691129987,31
2041154881,31
1518971863,31
1423072451,31
1583810953,31
1957494001,31
2429024261,32
2850170249,32
3171353299,32
2868923903,32
4105401103,32
4069668389,32
3998795597,32
3483761483,32
3847286923,32
3730757227,32
3821999941,32
2548217963,32
4023821519,32
3551352089,32
3227194843,32
2873977181,32
4001142617,32
3685199569,32
3848161007,32
3857826683,32
3771515287,32
2701691887,32
3581254991,32
3009043139,32
3305962739,32
3393720703,32
3718018147,32
2799913009,32
2771872421,32
4030486013,32
3494684069,32
3558270437,32
4016317093,32
3769461739,32
3058861207,32
8033309741,33
6529276909,33
7381264133,33
7481848783,33
7720091377,33
5856738677,33
8335437349,33
6625930343,33
7321148789,33
7750761727,33
6581389733,33
7422042763,33
7203147829,33
8138245501,33
5741506079,33
8423322899,33
5969216417,33
8533515037,33
4812591079,33
6717840457,33
6716597501,33
8178635119,33
6409972993,33
7543017701,33
8318817131,33
8258014511,33
5904827813,33
8511930101,33
7674941327,33
7009478569,33
7117001863,33
7422197369,33
5590110013,33
7446597181,33
7334071247,33
16923873877,34
13352478553,34
13014880327,34
10661071787,34
17112792493,34
14032767029,34
15149353907,34
17075937121,34
16738439869,34
13506757697,34
14942128703,34
14152781407,34
14269593193,34
14496436727,34
9532714201,34
12868565147,34
16715147849,34
15619295663,34
14040442291,34
15254442187,34
15523770463,34
14415870673,34
16869598957,34
11351209069,34
13885117139,34
11602037563,34
12447508729,34
14314886249,34
16714459057,34
16297070389,34
10239371281,34
16606465549,34
16393990003,34
16306416809,34
16376681681,34
27649018123,35
32620861879,35
21095890763,35
29071426207,35
26998479601,35
27735947951,35
32161329463,35
24686360177,35
31111864981,35
28128420413,35
26186499221,35
32737067239,35
30901194803,35
24639361129,35
24000446399,35
31786204661,35
19844118901,35
26333314817,35
27344807473,35
28380896233,35
33811890643,35
17505728381,35
24206991293,35
33302388451,35
25910815169,35
24698856799,35
25893892103,35
27118012109,35
26811480497,35
33268150589,35
23195421761,35
27865054729,35
30980153287,35
30689470393,35
30448142203,35
44163374513,36
58421121223,36
42774973729,36
51932199497,36
65575355743,36
54943823593,36
37073806543,36
49275809617,36
60727557487,36
64335882937,36
66042713791,36
66260950333,36
62597914609,36
45066388201,36
60399795527,36
48710054807,36
67292344393,36
60069148481,36
38647756793,36
60311493667,36
52888176701,36
44803320421,36
59815200083,36
47607861317,36
39291428087,36
45626302871,36
50271476503,36
60731775019,36
58830335359,36
57991087039,36
53105131553,36
62457568471,36
63489440471,36
59528007949,36
61690470067,36
118543036291,37
111328227119,37
86942694199,37
135570533167,37
121263339089,37
117926064041,37
123226036933,37
80815304047,37
119860815323,37
134853729949,37
109697814143,37
133234665517,37
136297509487,37
116500327051,37
122876130943,37
114093208793,37
96987853211,37
127185672283,37
118505746147,37
102361907267,37
124698360043,37
117129223171,37
128172354763,37
108778673657,37
90375885949,37
106233822601,37
132311583947,37
96303834521,37
125245409441,37
122529668467,37
75080942491,37
77173293031,37
129454137763,37
131961593279,37
115804596767,37
220056368747,38
240494139559,38
259880310383,38
233573701579,38
251286612469,38
254652937541,38
262712119727,38
268472382439,38
250960033111,38
172643404127,38
236058442493,38
222884650189,38
223807140833,38
238970262077,38
226984406917,38
249303792707,38
262400134517,38
263911517027,38
211016443613,38
227583393181,38
222052410967,38
261336645919,38
193023790213,38
250639758637,38
156072300941,38
274173351073,38
221081511767,38
256272271741,38
194457514739,38
229887839663,38
235309385533,38
250306247531,38
191833559347,38
257051990081,38
191620850957,38
511809812897,39
362740789391,39
473655661091,39
540353905561,39
438562685707,39
506384839913,39
530201427647,39
472282352089,39
305055707861,39
456729944857,39
403606639477,39
435872820263,39
541920416441,39
389859493313,39
483310784123,39
400012372603,39
410486489029,39
327722307071,39
439489218569,39
370497250271,39
480768653947,39
418659897731,39
342678905143,39
458046577711,39
424113898723,39
515701288163,39
482181268069,39
437255539481,39
488029380791,39
505986979591,39
411676252051,39
466390916987,39
507440654449,39
466254803207,39
526202962799,39
611202441253,40
898682026157,40
929711585401,40
901910250487,40
836692967657,40
968924819113,40
967033466941,40
924523759457,40
882012818639,40
1035631096061,40
857577064511,40
892241552483,40
1027295559737,40
1008271484981,40
659452038677,40
664348631897,40
764217269443,40
865209861547,40
1097060095049,40
973682344207,40
714056644019,40
678084277159,40
973527151559,40
847752925099,40
729591717961,40
582774308423,40
717080454823,40
883348523543,40
1047477795211,40
631007659463,40
1052743581433,40
852219443431,40
1062456284647,40
998771071231,40
854027359147,40
1614646429933,41
1932830739577,41
1461343536647,41
1742984042927,41
1668276373397,41
2062012904507,41
2196667206907,41
1887845205511,41
1817077244887,41
2024984701463,41
1396450128527,41
2152584941317,41
1234621250879,41
1450026080729,41
2081621808821,41
1996224409297,41
1837772561147,41
2071555931759,41
1575997049153,41
1812017918099,41
1874226711271,41
1846023824947,41
2056852071889,41
1677111324599,41
1923845191397,41
1797354723487,41
1731045482623,41
1993276845779,41
2168346593069,41
1907461320913,41
2140219254683,41
1954052765039,41
2046031043699,41
2126534235733,41
1986501360589,41
3683876486891,42
4015751750849,42
3331697085499,42
3313821568919,42
3643155115879,42
3231824961107,42
2316245960143,42
2793867745399,42
4364612419829,42
2887979842063,42
3069538633669,42
3761747924827,42
4125122952781,42
3802982293867,42
3496598914667,42
4176666392329,42
3676689441149,42
4150245521407,42
3871559259053,42
3393394639997,42
3994137285317,42
2425006642297,42
4216016718521,42
4072455735823,42
3827655590413,42
4115464728203,42
3935883627617,42
2844424992511,42
3142672074013,42
4319414813869,42
3948257051521,42
3508627324633,42
4240398117773,42
4101727977877,42
4256376667243,42
6042798207079,43
8414808757007,43
8221703727529,43
5617390366391,43
8610910901921,43
7986958542247,43
6054106228829,43
7902985213813,43
7268449847339,43
6710740521677,43
5708437244827,43
8234328710537,43
8416627085297,43
5647942521821,43
6815581796489,43
6828416607149,43
8395129775017,43
6950137394119,43
7069121166517,43
8628547144549,43
7530003274639,43
8295436084939,43
7962684972469,43
7762082556763,43
7092160530641,43
5892667165691,43
5021328795239,43
8355297295841,43
5216115265117,43
8079740745899,43
8258336465653,43
7029008775133,43
7883882226587,43
6056629825837,43
7029661893757,43
11192118878173,44
10297425902843,44
15905907789593,44
13913247281147,44
14721649463161,44
9886365433003,44
15101467258277,44
14320164668041,44
16643833399663,44
17157789486559,44
16335379419011,44
10249398154517,44
15783264750581,44
14572939693217,44
11863517355791,44
14825293777969,44
16530855727079,44
13956378510149,44
17515855908107,44
15109813665319,44
14956969829609,44
17074875027241,44
16838693078191,44
13442158734733,44
17038695239633,44
9525653792639,44
16917991762907,44
17145114509239,44
13557606755383,44
13400116877687,44
15457768836031,44
16715092566517,44
16499671540463,44
15879991250041,44
15232029135581,44
33186015027871,45
23164412884687,45
27297571604323,45
22126527040897,45
22723387502399,45
33724207312181,45
29696638521997,45
21224576144243,45
28151700054679,45
28490225130463,45
33331274597389,45
20069454780953,45
33771020020883,45
23270368159681,45
24867665741879,45
21582576001439,45
33290633803753,45
34684056829907,45
34012225582493,45
34407011415467,45
23209247140769,45
34648044311737,45
34763702140499,45
31241445309251,45
28561691672477,45
27992887345999,45
24711528478843,45
24275902955587,45
30028797221557,45
29639092908059,45
29223469150331,45
29751165225053,45
28032333087887,45
28039231398223,45
33304179554839,45
56430403301383,46
68006941681849,46
61552921791701,46
63393878836139,46
67825168429001,46
64685307066287,46
52489096645033,46
58189524745277,46
54261098832623,46
60157764534691,46
49151287216459,46
50020927455419,46
61793480365751,46
50849498915599,46
58576685663087,46
66576175443403,46
67333115424583,46
37204999371227,46
60698158746767,46
48504653276561,46
58983982875319,46
62745707486393,46
52015726634527,46
43960516631131,46
42331535552393,46
43576392529003,46
52326694323941,46
43916962523801,46
70090488538009,46
38227566689633,46
51674917592423,46
70066222621951,46
53481527217871,46
66892184972881,46
43746424253659,46
134712750460643,47
118946252244539,47
138091523697851,47
121059218908081,47
111433010008213,47
138212345109281,47
118360767254887,47
88890582151253,47
122342697053971,47
101123693931763,47
105920013858691,47
108388708087801,47
135949579813843,47
99484520484329,47
97149216743893,47
123163041733153,47
118628275815323,47
139107531938689,47
122565456890711,47
87440269263829,47
136962341934529,47
134112791038799,47
113915674461187,47
129741274821401,47
135334462984241,47
123670705314511,47
113262710912609,47
113019482814377,47
126796340724421,47
123516540146849,47
121279457805251,47
104469840373013,47
121162521389269,47
107158646783621,47
124601878935727,47
179255621533039,48
197325519628147,48
205984364827181,48
245887292343233,48
213022663477279,48
193711500068987,48
227839307153219,48
182608850306359,48
276598120350719,48
277397088528887,48
217712515612987,48
241584574172143,48
271957713925463,48
274249657552499,48
267391116977107,48
215041253116741,48
237183755210629,48
191152010273761,48
278194250734223,48
195574437336337,48
272542043638687,48
190396698904931,48
280186766279149,48
278792062664347,48
216861896489153,48
196538246431913,48
183439079171869,48
251240373373793,48
269874148407641,48
230889720646427,48
273908537375713,48
209575562969957,48
262664315866063,48
191035821396373,48
231103818535571,48
536025205790159,49
503495795607653,49
483067092491429,49
359928800708563,49
526167672568969,49
442104532077139,49
523073341953689,49
541665186433873,49
406917382813619,49
339535395205367,49
527702978321837,49
396584885263459,49
469348332456617,49
498890995323199,49
553730746061653,49
396129489931783,49
486782318523167,49
531576967910377,49
468485249575229,49
380353689134563,49
534152866359397,49
523544489271943,49
438699256524307,49
461236630200529,49
513553036572181,49
413411549568727,49
428368925710699,49
441098437748113,49
472869705030713,49
473501198343959,49
413955581423383,49
532113671074967,49
556019692374287,49
479499971750389,49
380498421250331,49
677059236417307,50
667896923588047,50
937818140671393,50
641822209978519,50
930710123978533,50
989131124621579,50
1078155450017339,50
770386107629183,50
937913822568313,50
700457392555243,50
891609617932129,50
936208869680869,50
979082171362517,50
1026795291903793,50
1077659782921549,50
802627001349479,50
1046100281256337,50
956403899580331,50
1112175865730927,50
756437064050299,50
659097491593007,50
1070954299147297,50
867447597532363,50
651813054574217,50
756647257517953,50
981983272948493,50
858904903332041,50
959217554298247,50
816063144459119,50
805485121925839,50
930846262393501,50
892637697085909,50
972633755052161,50
1066301751341383,50
900844751879467,50
2053946885613899,51
1628779832843393,51
2218572486879181,51
1829797632108161,51
1411505405196737,51
2203603139834401,51
1646084855301463,51
1864422801981283,51
2125774809490837,51
1518179870737051,51
1880448776752967,51
1635275522600099,51
1567358291370439,51
2075954260153607,51
2219397563844761,51
1621230758260907,51
2006085042039809,51
2179020342010669,51
2130804995241203,51
1968021202160917,51
2057637743594827,51
2021324221889747,51
1854978517542727,51
2125892382136829,51
1272559422714197,51
1834846722310211,51
1552197460531723,51
2044226011010501,51
1812111723114559,51
2124125186586019,51
2233655359059959,51
1692011531424881,51
2053942636932689,51
1857212755338403,51
1908199959466351,51
3992646536313583,52
3786062854162741,52
4135796266741421,52
4331467509010321,52
3498229263734657,52
3144546039420367,52
4030467683822693,52
4117966174172027,52
3479238614526407,52
3046517214496489,52
2708795888494693,52
3695188846490237,52
2642035459730047,52
4090217159474387,52
3910077546651317,52
3584368809681851,52
2475526985915551,52
3812872168090313,52
3826210654353601,52
3252131641990489,52
4362014722530371,52
3866261911352299,52
3274798886088391,52
3448465441510757,52
3335319466321229,52
4325074904580791,52
4200456671796311,52
3395754404437579,52
3767866907883469,52
3499246053052531,52
2367019807725827,52
4073170398054803,52
3078910364220451,52
3426960948711841,52
4234783526252267,52
5077718390963587,53
8004734701767781,53
7192717191264067,53
6738929974820567,53
8268307889133059,53
6136030968952607,53
8128757183630023,53
7862727154939633,53
5817822606784439,53
5140559789717543,53
7981946722900751,53
7607323438348811,53
8189006475367049,53
7543308373032791,53
7180053824269943,53
8346193931190581,53
7763964379083139,53
8960856779878873,53
7476041141703919,53
4925742474862387,53
7433162557683769,53
8318837613735043,53
5471926415871257,53
8977154058655697,53
5042826628691161,53
7592581524105091,53
7794806043451003,53
8392641962529787,53
7661376392995657,53
7191303144757007,53
5720836661918519,53
6413658168316381,53
8841433606235717,53
7270962356117017,53
8821012020215069,53
15055369546894513,54
17741700727832111,54
16647867190743721,54
16198918229230127,54
15928093238580967,54
17168423346670549,54
14819585900991689,54
17761676704063543,54
11263553258311933,54
16952129099991079,54
16282648821915349,54
17594978965168097,54
17243271127628761,54
13571150628351929,54
14667444033997253,54
16567709547706357,54
13078745530465973,54
16411932898483319,54
14956130192594551,54
11533415013589121,54
13511112444151177,54
12379484863506121,54
17650342766598481,54
14108020408341199,54
16640182686348157,54
16120008045656407,54
17751011322714977,54
14060630708221211,54
12315880426496947,54
12574012897325653,54
13068235487412851,54
14881366485981761,54
17796779771988559,54
13579766260930201,54
16533343947615049,54
30730249942001503,55
22674689894908477,55
25581008490239599,55
32748535108849631,55
29955860974517297,55
30685720782193229,55
33098772083255959,55
30115497274989031,55
28254941516468449,55
34049092848085901,55
35065327706891737,55
30518750817649343,55
30957871148610443,55
34063466966203583,55
21885993465558529,55
31242003797401711,55
27726807640985693,55
34636027458437081,55
21064108112018941,55
34502889949940323,55
31756808461827149,55
32024568274020463,55
29309575783153481,55
26146028519133847,55
32926588995745409,55
31563013058571367,55
32448040880751841,55
33664101539298947,55
30404521526984599,55
33223939091540731,55
35163260562850397,55
22379704422231131,55
34836483691536251,55
25154154327115637,55
30210456695781211,55
54146569655730449,56
53994806483948899,56
61038202316224229,56
59401836187270387,56
59029689625452061,56
51863879328410021,56
59079869865820337,56
60057958222203367,56
57212496994234577,56
47217005669818793,56
61355980355141113,56
47815741660921771,56
70641137496860011,56
65468524253285563,56
56455272838773241,56
68005298777538821,56
70363466336174371,56
56959769651430683,56
68633115844796651,56
69822614305135883,56
71445394426112039,56
62003529670080589,56
41512571286501571,56
61535624179661237,56
68861703603430277,56
52903025888618897,56
70466004036169849,56
62917983854192549,56
71288707290593959,56
67241000325403873,56
66570456226965787,56
61458392951668343,56
69878434101944029,56
60850788741328291,56
70907912001366059,56
122657859503960549,57
128337118115573011,57
125674917312269981,57
90431542323830371,57
129143225701458659,57
118479449644891451,57
136092200785374289,57
112949722411792027,57
116078758888117451,57
137284230568964279,57
125797588789113557,57
110509981762022321,57
116057417976749071,57
107033113925088509,57
86059940304585581,57
135024451992400787,57
86811855980628431,57
120569460442513099,57
116536592888992343,57
116030596682463677,57
124541504123035897,57
116448823585863817,57
129981567584333603,57
79553856746994103,57
88665833318075737,57
110282536915241477,57
110916242167308491,57
