N,Bit_length
328864300961641524110577229778058851,118
125405719886705761,57
186926949949,38
235184771763984371108525252888161609,118
20015918484234453875106071192857981,114
322382769740591669479410940670707137961,128
7291,13
13309766318591,44
124887706099751035875699689811143,107
7539529321,33
3725171602501707234176239,82
2126601444493970767,61
25293874053875081924946294173393,105
81893947217,37
101699881477137211,57
549641911032007022343105682627063,109
8281843800822973171116836270295624457,123
11390088375499,44
4600375400362875840613,72
8153684511205363967,63
14581487624543227,54
13782127,24
59244425166007681934173624523,96
235925786581,38
116951,17
253978086357881,48
98177111,27
779,10
38256539909955129499647317947609,105
45234349,26
512299311721,39
466499,19
290398254331169137157,68
9574054092911507652467867,83
2295917568686701859,61
1700216047,31
1467163,21
2065183757389685711,61
2395361087261935928454920488821823931,121
35296450338881613536648880010177,105
208877403391,38
30581209777083662880354756396989808793,125
195248107,28
498143357,29
3546438509,32
70207350272519342768926753324067,106
110392296814983384242265867269717,107
2059994556308073414217679857,91
1021031839106353,50
193729,18
203460050449861,48
28659220379325786956573713,85
22741039939546241,55
530078927085841494343,69
121463,17
4698965637344251190059383463,92
73780252453100054687248868203649669017,126
2242967105019541,51
18002097386970172416431,74
7486763973899867541299607425751863,113
5454572613162787,53
13523546888698908374249,74
1257523931879,41
63383278434685527151,66
66715314943520328106699,76
122849657503250389,57
464019359280194183,59
59841963943453399575445989737,96
1799793693733777064270496796415587,111
3836788343758373,52
4058651,22
2615123634491,42
2488667295723475760506348876255121249,121
3680528723146439,52
11784482934559170138360553,84
1757948724698266618198931,81
1901707,21
33379542562470416695483,75
407011460428943,49
7195585720102903,53
243494599357,38
388143919,29
17502540071263852350721,74
79325463058657107316988347298178179,116
18799099230437904902869200767,94
4982357611708226377012599295121085329,122
5841292811,33
217251777852133552651323877,88
239507152756456173362563,78
118381960113732529841983,77
2500606114392837131358862043933096929,121
1162298156708043709936093,80
2392190187819309617569439998543,101
701021,20
14752247947237,44
1669919,21
6471595292939755705569131604323955553,123
1060580575771,40
90336943854961289,57
778505802405589,50
7306558123016884233835296841,93
98090803,27
167429063420641268304893271898630961531,127
140493222649461732101,67
982244691003583560356777,80
103344021070750996666261,77
577832432039086552706451299799343,109
278940916703221,48
2234244933660622771664356487,91
239467,18
243351030652310495218273,78
9357756321981797610946019,83
93748939834331,47
28816308073032871,55
7876003098466162171672249,83
708683,20
94271983717513576103387,77
879270409524279714906557,80
533724477642528847,59
30301,15
3452386572821,42
26117914616471449,55
7504809986022303801013860873527,103
7796303,23
67300443735504008386971709100969,106
83499799,27
12083846971377660513452314693919527,114
3148352323,32
914050132418197686699654547,90
12191,14
457549041242077,49
1148962271149058269,60
492549496749786401816687,79
11993,14
28142210550218951,55
47867,16
12331694172013,44
11810771910586402092444847688470656227,124
8087732183,33
7544803688236809281981904736003,103
8020053551,33
6683123,23
1607078641053971,51
130738038900587,47
114742057581894932329343311,87
2119291639,31
15613460589281627,54
22745,15
457297,19
61835700479399563,56
